project,story_id,run_id,user_story,review_status,classification_mode,final_rows,final_confidence,decision,disagreement_cause,action,why,uncertainty_band,uncertainty_score,consensus_ratio,disagreement_rate,hypothesis_count,label_overlap,normalized_entropy,taxonomy_version,prompt_version,policy_version,openai_rows,openai_confidence,openai_needs_review,gemini_rows,gemini_confidence,gemini_needs_review,deepseek_rows,deepseek_confidence,deepseek_needs_review
federalspending,us_758116f00bed7dcf,run_dd853b72f8ef43f99e0283017036bba8,"﻿As a Data user, I want to have the 12-19-2017 deletions processed.",accepted_auto,classify_only,n/a::n/a,0.4,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.5353,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.4,True,Registry::Remove data,1.0,False,Registry::Remove data,0.6,True
federalspending,us_9d0ee5dc14d9d5bd,run_dd853b72f8ef43f99e0283017036bba8,"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.",accepted_auto,classify_only,n/a::n/a,0.3,accept,taxonomy_gap,none,Auto-finalized in classify-only mode as not covered.,medium,0.445,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.4,True,n/a::n/a,0.3,True,n/a::n/a,0.2,True
federalspending,us_ec2711c926278b3a,run_dd853b72f8ef43f99e0283017036bba8,"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.",accepted_auto,classify_only,n/a::n/a,0.33,accept,taxonomy_gap,none,Auto-finalized in classify-only mode as not covered.,medium,0.4383,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.38,True,n/a::n/a,0.3,True,n/a::n/a,0.3,True
federalspending,us_ca8735f506d5dd9a,run_dd853b72f8ef43f99e0283017036bba8,"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.",accepted_auto,classify_only,n/a::n/a,0.2,accept,taxonomy_gap,none,Auto-finalized in classify-only mode as not covered.,medium,0.4683,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.4,True,n/a::n/a,0.2,True,n/a::n/a,0.2,True
federalspending,us_601088557864832c,run_dd853b72f8ef43f99e0283017036bba8,"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",accepted_auto,classify_only,n/a::n/a,0.22,accept,taxonomy_gap,none,Auto-finalized in classify-only mode as not covered.,medium,0.4658,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.35,True,n/a::n/a,0.1,True,n/a::n/a,0.2,True
federalspending,us_7a97e49ce56a21d6,run_dd853b72f8ef43f99e0283017036bba8,"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.",accepted_auto,classify_only,n/a::n/a,0.24,accept,taxonomy_gap,none,Auto-finalized in classify-only mode as not covered.,medium,0.46,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.32,True,n/a::n/a,0.2,True,n/a::n/a,0.2,True
federalspending,us_dd05936c7c70dea0,run_dd853b72f8ef43f99e0283017036bba8,"As a Developer , I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.",accepted_auto,classify_only,n/a::n/a,0.33,accept,taxonomy_gap,none,Auto-finalized in classify-only mode as not covered.,medium,0.4367,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.4,True,n/a::n/a,0.3,True,n/a::n/a,0.3,True
federalspending,us_c8eadcefcb23d001,run_dd853b72f8ef43f99e0283017036bba8,"As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.",accepted_auto,,Registry::Update data,0.78,accept,annotation_error_suspected,ask_human,"Todos os modelos concordam com 'Registry/Update data', mas o Deepseek levantou questões sobre a perspectiva do desenvolvedor e termos específicos (FABS, publishStatus), sugerindo possível erro de anotação ou ambiguidade na história. A confiança agregada é moderada devido a essas preocupações.",low,0.22,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Update data,0.74,False,Registry::Update data,0.9,False,Registry::Update data,0.7,True
federalspending,us_3404036fe624e6af,run_dd853b72f8ef43f99e0283017036bba8,"As a DevOps engineer, I want New Relic to provide useful data across all applications.",accepted_auto,classify_only,n/a::n/a,0.33,accept,taxonomy_gap,none,Auto-finalized in classify-only mode as not covered.,medium,0.4517,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.4,True,n/a::n/a,0.3,True,n/a::n/a,0.3,True
federalspending,us_04d2dbdff117c7c3,run_dd853b72f8ef43f99e0283017036bba8,"As a UI designer,  I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.",accepted_auto,classify_only,n/a::n/a,0.23,accept,taxonomy_gap,none,Auto-finalized in classify-only mode as not covered.,medium,0.4783,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.28,True,n/a::n/a,0.2,True,n/a::n/a,0.2,True
