project,story_id,run_id,user_story,review_status,classification_mode,final_rows,final_confidence,decision,disagreement_cause,action,why,uncertainty_band,uncertainty_score,consensus_ratio,disagreement_rate,hypothesis_count,label_overlap,normalized_entropy,taxonomy_version,prompt_version,policy_version,openai_rows,openai_confidence,openai_needs_review,gemini_rows,gemini_confidence,gemini_needs_review,deepseek_rows,deepseek_confidence,deepseek_needs_review,groq_rows,groq_confidence,groq_needs_review
P01,us_014ab0e4d4e4c05a,run_15255bc7f3424248ad7d396e18cc57b1,"As a user, I want to visually create and edit the graphical structure of a Bayesian network so that I can define, organize, and visualize the associations between its variables in an intuitive way.",accepted_auto,classify_only,n/a::n/a,0.2,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6312,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.45,True,,,,n/a::n/a,0.2,True,Registry::Insert data | Registry::Update data | Management::View dashboard,0.8,False
P01,us_3a1aecfedfeb017f,run_15255bc7f3424248ad7d396e18cc57b1,"As a user, I want the system to perform probabilistic inference on the Bayesian network so that I can obtain predictions, diagnoses, and other reasoning results based on the relationships among the variables.",accepted_auto,classify_only,n/a::n/a,0.2,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6437,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.3,True,,,,n/a::n/a,0.2,True,Registry::Insert data | Registry::Update data | Registry::Modify input behavior,0.8,False
P01,us_7ffc73016dc8f9e6,run_15255bc7f3424248ad7d396e18cc57b1,"As a user, I want to manually edit the properties of each node in the Bayesian network, including its probability tables, so that I can define or adjust the conditional probabilities according to my knowledge or experimental data.",accepted_auto,classify_only,n/a::n/a,0.62,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4428,0.6667,0.3333,2,0.6667,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Update data,0.62,True,,,,Registry::Update data,0.9,False,Registry::Update data | Registry::Modify input behavior,0.9,False
P01,us_23450028ba20bcd6,run_15255bc7f3424248ad7d396e18cc57b1,"As a user, I want to define evidences for multiple variables in the Bayesian network by assigning specific values to them, so the model can use these fixed inputs to infer the resulting probability distributions of the remaining variables.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.642,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.4,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Registry::Update data | Registry::Modify input behavior,0.8,False
P01,us_3d78d6546851d449,run_15255bc7f3424248ad7d396e18cc57b1,"As a user, I want to define node functions for ordinal variables using the Ranked Nodes Method so that I can automatically generate their corresponding probability tables.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6403,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.42,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
P01,us_2cb1f3716a2f0092,run_15255bc7f3424248ad7d396e18cc57b1,"As a user, I want to create named scenarios by defining input values for variables so that I can easily identify and manage different test cases.",accepted_auto,classify_only,n/a::n/a,0.62,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4595,0.6667,0.3333,2,0.6667,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data,0.62,True,,,,Registry::Insert data,0.8,False,Registry::Insert data | Management::View dashboard,0.8,False
P01,us_9cc0696fa4a4ff14,run_15255bc7f3424248ad7d396e18cc57b1,"As a user, I want to define the probability function of ordinal nodes using the Weighted Sum Algorithm so that I can generate conditional probability tables based on the weighted contribution of each parent variable",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.627,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.4,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
P01,us_e0f1e841aebfa537,run_15255bc7f3424248ad7d396e18cc57b1,"As a user, I want to define conditional probability tables for single-parent nodes using the AHP-based pairwise comparison method so that I can generate consistent probabilities while minimizing subjective bias.",accepted_auto,classify_only,n/a::n/a,0.33,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6478,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.33,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
P01,us_10066a80c19eb009,run_15255bc7f3424248ad7d396e18cc57b1,"As a user, I want to generate conditional probability tables for nodes with multiple parents by combining the conditional probabilities obtained from each parent individually, using the normalization rule proposed by Chin et al., so that I can approximate multi-parent dependencies without manually defining all state combinations.",accepted_auto,classify_only,n/a::n/a,0.36,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6303,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.36,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
P01,us_ec7eeb70ce448d36,run_15255bc7f3424248ad7d396e18cc57b1,"As a user, I want to define prior probability distributions for nodes without parents using pairwise comparisons among their possible states so that I can specify consistent initial probabilities when no parent nodes exist.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.6933,0.3333,0.6667,3,0.1667,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data,0.56,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
