project,story_id,run_id,user_story,review_status,classification_mode,final_rows,final_confidence,decision,disagreement_cause,action,why,uncertainty_band,uncertainty_score,consensus_ratio,disagreement_rate,hypothesis_count,label_overlap,normalized_entropy,taxonomy_version,prompt_version,policy_version,openai_rows,openai_confidence,openai_needs_review,gemini_rows,gemini_confidence,gemini_needs_review,deepseek_rows,deepseek_confidence,deepseek_needs_review
planning_poker,us_a73767699c475779,run_458031449e27481282f1d88c3967bd24,"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.662,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Authentication::Create account,0.56,True,n/a::n/a,0.4,True,n/a::n/a,0.3,True
planning_poker,us_8010190cbb28004e,run_458031449e27481282f1d88c3967bd24,"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it",accepted_auto,classify_only,n/a::n/a,0.61,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.5803,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data,0.62,True,Registry::Insert data,0.9,False,n/a::n/a,0.3,True
planning_poker,us_ee45b4ce116c3388,run_458031449e27481282f1d88c3967bd24,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___""",accepted_auto,classify_only,n/a::n/a,0.42,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.64,0.3333,0.6667,3,0.0,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.42,True,Registry::Retrieve data,0.9,False,Management::View dashboard,0.8,False
planning_poker,us_aa1ec29eb6a29f49,run_458031449e27481282f1d88c3967bd24,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.6792,0.3333,0.6667,3,0.1667,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Update data,0.63,True,Registry::Retrieve data | Registry::Update data,0.9,False,n/a::n/a,0.3,True
planning_poker,us_ccd51b92b05980d6,run_458031449e27481282f1d88c3967bd24,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing",accepted_auto,,Registry::Insert data,0.88,accept,annotation_error_suspected,ask_human,"Todos os modelos concordam com 'Registry/Insert data' com alta confiança, mas a história pode ser ambígua sobre se é uma operação de gerenciamento de backlog (não na taxonomia).",low,0.0308,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data,0.78,False,Registry::Insert data,0.95,False,Registry::Insert data,0.9,False
planning_poker,us_95c6974428755626,run_458031449e27481282f1d88c3967bd24,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item",accepted_auto,,Registry::Update data,0.86,accept,annotation_error_suspected,ask_human,"Todos os modelos concordam com 'Registry/Update data' com alta confiança, sem divergência real. A causa é atribuída a um possível erro de anotação, pois a história pode ser interpretada como 'Management' (editar item de estimativa), mas a taxonomia não tem operação clara para isso.",low,0.035,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Update data,0.78,False,Registry::Update data,0.9,False,Registry::Update data,0.9,False
planning_poker,us_badaeba1c0e2e5af,run_458031449e27481282f1d88c3967bd24,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it",accepted_auto,,Registry::Remove data,0.9433333333333334,accept,annotation_error_suspected,none,"Todos os modelos concordaram com a mesma classificação (Registry/Remove data) com alta confiança, sem divergência real. A causa é definida como 'annotation_error_suspected' por padrão para casos de concordância, mas não há necessidade de revisão humana.",low,0.0142,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Remove data,0.93,False,Registry::Remove data,1.0,False,Registry::Remove data,0.9,False
planning_poker,us_72f06335d30f4353,run_458031449e27481282f1d88c3967bd24,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate",accepted_auto,classify_only,n/a::n/a,0.42,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.5487,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.42,True,Registry::Retrieve data,0.9,False,Registry::Retrieve data,0.7,False
planning_poker,us_584105ee5da419b6,run_458031449e27481282f1d88c3967bd24,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree",accepted_auto,classify_only,n/a::n/a,0.36,accept,taxonomy_gap,none,Auto-finalized in classify-only mode as not covered.,medium,0.445,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.38,True,n/a::n/a,0.4,True,n/a::n/a,0.3,True
planning_poker,us_5c1af6fa79ce4e13,run_458031449e27481282f1d88c3967bd24,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6403,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Modify input behavior,0.74,False,n/a::n/a,0.3,True,n/a::n/a,0.3,True
